Period (sec),Frequency Domain Spectral Acceleration (g)
0.01,0.369364096
0.0106412,0.36869351
0.0113235,0.369609236
0.0120495,0.368800576
0.0128221,0.369655864
0.0136442,0.370327248
0.014519,0.369548288
0.01545,0.370332594
0.0164406,0.369669775
0.0174947,0.370300441
0.0186165,0.369520779
0.0198101,0.370294171
0.0210803,0.371600954
0.0224319,0.370188439
0.0238702,0.374344615
0.0254007,0.373648096
0.0270293,0.376709747
0.0287624,0.377965227
0.0306066,0.372800272
0.032569,0.381175605
0.0346572,0.382508986
0.0368794,0.383640634
0.039244,0.383928107
0.0417603,0.385741859
0.0444378,0.370998078
0.0472871,0.403181595
0.050319,0.385959138
0.0535454,0.418506867
0.0569786,0.444989838
0.0606319,0.445938588
0.0645195,0.420101261
0.0686563,0.354729942
0.0730584,0.41381015
0.0777428,0.451975175
0.0827275,0.438907086
0.0880318,0.481187447
0.0936762,0.534384727
0.0996825,0.525553145
0.106074,0.510555722
0.112875,0.453741646
0.120112,0.528681485
0.127814,0.522507064
0.136009,0.622339098
0.14473,0.602193466
0.154009,0.61724897
0.163884,0.704172333
0.174392,0.764483184
0.185573,0.786206486
0.197472,0.830053288
0.210134,0.870054675
0.223607,0.897189125
0.237944,0.899092488
0.2532,0.818042335
0.269435,0.707399957
0.286711,0.69775402
0.305094,0.729731713
0.324656,0.789494079
0.345472,1.036220349
0.367623,1.354496562
0.391194,1.458460271
0.416277,1.305097651
0.442967,0.990283581
0.471369,0.669273024
0.501593,0.677680783
0.533754,0.631211072
0.567977,0.620783711
0.604394,0.660225603
0.643146,0.719578618
0.684384,0.734771428
0.728265,0.700817384
0.774959,0.620803843
0.824648,0.485387735
0.877523,0.328262374
0.933788,0.298378428
0.99366,0.300980465
1.05737,0.296026316
1.12517,0.280211845
1.19731,0.273330161
1.27408,0.312297281
1.35577,0.313349688
1.4427,0.302468535
1.5352,0.279081722
1.63364,0.235577518
1.73838,0.191224763
1.84984,0.170753336
1.96845,0.142956312
2.09466,0.114728073
2.22897,0.096688271
2.37188,0.080091949
2.52396,0.073841899
2.6858,0.067182871
2.858,0.059656241
3.04125,0.05157497
3.23625,0.047133115
3.44375,0.043547985
3.66456,0.040077299
3.89952,0.036613808
4.14955,0.033166506
4.41561,0.031021157
4.69873,0.028070365
5,0.024482778
5.32059,0.020809657
5.66173,0.017858032
6.02475,0.015420712
6.41104,0.013230281
6.82211,0.011316903
7.25952,0.009615629
7.72499,0.008157822
8.2203,0.00690968
8.74737,0.005823962
9.30823,0.005082089
9.90505,0.004496429
10,0.004407535
