Period (sec),PSA (g)
0.01,0.27983491
0.0106412,0.279702284
0.0113235,0.280034035
0.0120495,0.279387879
0.0128221,0.280328628
0.0136442,0.280059697
0.014519,0.280509024
0.01545,0.279962901
0.0164406,0.281099442
0.0174947,0.280619579
0.0186165,0.280614979
0.0198101,0.281930163
0.0210803,0.281631912
0.0224319,0.281968533
0.0238702,0.283158114
0.0254007,0.283915546
0.0270293,0.282189921
0.0287624,0.285329117
0.0306066,0.286447445
0.032569,0.286791437
0.0346572,0.284284197
0.036879399,0.285129848
0.039244,0.290305732
0.0417603,0.299568339
0.0444378,0.332186755
0.047287099,0.375504278
0.050319,0.35906264
0.053545399,0.359069573
0.056978599,0.361326081
0.060631901,0.363567989
0.064519501,0.405610544
0.068656299,0.41747324
0.0730584,0.451140327
0.077742803,0.402565812
0.082727499,0.451165723
0.088031803,0.536486643
0.093676201,0.589256825
0.099682501,0.695141099
0.106073999,0.688243645
0.112874996,0.626899152
0.120111997,0.565802881
0.127814001,0.553924947
0.136008993,0.50968323
0.14472999,0.48783734
0.154009001,0.514735505
0.163883998,0.550410162
0.174392,0.640725849
0.185572998,0.705083605
0.197472003,0.836902882
0.210134007,0.90885777
0.223606996,0.76115728
0.237943974,0.64621193
0.253200005,0.566628563
0.269435022,0.699360794
0.286710975,0.80249939
0.305094033,0.878480051
0.324656035,0.985416734
0.345471951,1.157962336
0.367623001,1.165172461
0.391194065,1.008280581
0.416276927,0.79273565
0.442966904,0.710287757
0.471369044,0.683464214
0.50159306,0.556926004
0.533754074,0.539578094
0.567976895,0.487319267
0.604393944,0.525828088
0.643145961,0.449863659
0.684384,0.406430062
0.728264756,0.345092846
0.774958908,0.288795654
0.824647731,0.25021998
0.877523208,0.217821887
0.933787901,0.164614548
0.993660446,0.122292659
1.057369708,0.100386123
1.125169479,0.081435577
1.197309406,0.077443388
1.274080114,0.07909819
1.35577043,0.079021371
1.442699579,0.096196309
1.535199829,0.087363771
1.633639913,0.081172885
1.738380664,0.084677445
1.849841006,0.091095152
1.968449688,0.095819186
2.094661963,0.095796308
2.228968567,0.091279207
2.371882753,0.08443439
2.523958678,0.07614158
2.685796701,0.070117981
2.858000257,0.067772556
3.041251536,0.064722752
3.236245955,0.060730541
3.443751485,0.055620926
3.664560766,0.050153265
3.89951724,0.046955615
4.149549774,0.042247776
4.415615382,0.037421365
4.698740268,0.034833518
5,0.030586679
5.320592288,0.026880743
5.661744723,0.023944975
6.024749672,0.021545455
6.411037242,0.019056806
6.822120042,0.016607648
7.259528131,0.014277272
7.724990344,0.012119125
8.220304151,0.010175574
8.747375787,0.008432988
9.308213568,0.006915926
9.905010945,0.005618135
10,0.005448607
