Period (sec),PSA (g)
0.01,0.487627715
0.0106412,0.48746292
0.0113235,0.487692737
0.0120495,0.487786706
0.0128221,0.487843168
0.0136442,0.487448083
0.014519,0.487892679
0.01545,0.487653958
0.0164406,0.487578108
0.0174947,0.487877299
0.0186165,0.488380635
0.0198101,0.488624188
0.0210803,0.488734883
0.0224319,0.487806966
0.0238702,0.488596883
0.0254007,0.488497022
0.0270293,0.487778352
0.0287624,0.490062782
0.0306066,0.488583402
0.032569,0.489088852
0.0346572,0.490040462
0.036879399,0.4905341
0.039244,0.491759144
0.0417603,0.493161615
0.0444378,0.492074288
0.047287099,0.493491891
0.050319,0.49520447
0.053545399,0.496778508
0.056978599,0.498756085
0.060631901,0.499151881
0.064519501,0.500950235
0.068656299,0.492751742
0.0730584,0.503635888
0.077742803,0.511113617
0.082727499,0.503124818
0.088031803,0.50763014
0.093676201,0.498490044
0.099682501,0.512047846
0.106073999,0.539967602
0.112874996,0.554306461
0.120111997,0.559347464
0.127814001,0.566905045
0.136008993,0.595508088
0.14472999,0.621407274
0.154009001,0.627256105
0.163883998,0.658037919
0.174392,0.676880686
0.185572998,0.722431828
0.197472003,0.749234931
0.210134007,0.749013901
0.223606996,0.880340819
0.237943974,0.890786061
0.253200005,0.926044998
0.269435022,1.002947955
0.286710975,1.089224863
0.305094033,1.207316192
0.324656035,1.343046889
0.345471951,1.465416794
0.367623001,1.528567625
0.391194065,1.365543714
0.416276927,1.273904945
0.442966904,1.146464952
0.471369044,1.023005712
0.50159306,0.874488876
0.533754074,0.729873305
0.567976895,0.604791681
0.604393944,0.625549281
0.643145961,0.620777793
0.684384,0.521192619
0.728264756,0.454837145
0.774958908,0.384032968
0.824647731,0.327498498
0.877523208,0.263732716
0.933787901,0.214858671
0.993660446,0.189931051
1.057369708,0.163461125
1.125169479,0.138586762
1.197309406,0.117488539
1.274080114,0.106172979
1.35577043,0.102477284
1.442699579,0.101252496
1.535199829,0.104275865
1.633639913,0.10610137
1.738380664,0.115126643
1.849841006,0.117759807
1.968449688,0.115431159
2.094661963,0.109884075
2.228968567,0.102666813
2.371882753,0.094885015
2.523958678,0.087136998
2.685796701,0.080227796
2.858000257,0.076778038
3.041251536,0.074479734
3.236245955,0.070752948
3.443751485,0.064805251
3.664560766,0.057027668
3.89951724,0.050647497
4.149549774,0.044929793
4.415615382,0.038399407
4.698740268,0.035080888
5,0.030693905
5.320592288,0.026720635
5.661744723,0.023570477
6.024749672,0.021029344
6.411037242,0.018524814
6.822120042,0.016179672
7.259528131,0.013994971
7.724990344,0.012017792
8.220304151,0.010273468
8.747375787,0.008725629
9.308213568,0.00737273
9.905010945,0.006209898
10,0.006053332
