Frequency (Hz),Fourier Amplitude (g-sec)
0.006103516,8.11925E-05
0.012207031,0.000206388
0.018310547,0.000500441
0.024414063,0.000711796
0.030517578,0.000699598
0.036621094,0.000659362
0.042724609,0.001024064
0.048828125,0.001404101
0.054931641,0.001377276
0.061035156,0.001135072
0.067138672,0.001514671
0.073242188,0.002077828
0.079345703,0.001992935
0.085449219,0.001420044
0.091552734,0.001879762
0.09765625,0.002667807
0.103759766,0.002363816
0.109863281,0.002568699
0.115966797,0.005845065
0.122070313,0.009371793
0.128173828,0.01109198
0.134277344,0.01090548
0.140380859,0.012382039
0.146484375,0.018164017
0.152587891,0.024486906
0.158691406,0.027249059
0.164794922,0.024961508
0.170898438,0.020323219
0.177001953,0.020685434
0.183105469,0.027001568
0.189208984,0.031993305
0.1953125,0.032072226
0.201416016,0.028649303
0.207519531,0.026458402
0.213623047,0.027979539
0.219726563,0.029948956
0.225830078,0.029677119
0.231933594,0.028641664
0.238037109,0.030201733
0.244140625,0.034653725
0.250244141,0.039321104
0.256347656,0.042048998
0.262451172,0.041620971
0.268554688,0.037092185
0.274658203,0.028300016
0.280761719,0.017723944
0.286865234,0.014222757
0.29296875,0.020517257
0.299072266,0.025291519
0.305175781,0.025797184
0.311279297,0.026363381
0.317382813,0.032108547
0.323486328,0.040654899
0.329589844,0.047311098
0.335693359,0.050673442
0.341796875,0.052032379
0.347900391,0.052488432
0.354003906,0.051121906
0.360107422,0.046589248
0.366210938,0.039779275
0.372314453,0.034096738
0.378417969,0.031546271
0.384521484,0.029061257
0.390625,0.022746661
0.396728516,0.012599141
0.402832031,0.007214547
0.408935547,0.014552464
0.415039063,0.018727002
0.421142578,0.016239253
0.427246094,0.009505908
0.433349609,0.0105193
0.439453125,0.019336922
0.445556641,0.025482547
0.451660156,0.026801723
0.457763672,0.024492822
0.463867188,0.021419766
0.469970703,0.019572719
0.476074219,0.018132506
0.482177734,0.015732407
0.48828125,0.013610361
0.494384766,0.015258955
0.500488281,0.020436446
0.506591797,0.0259015
0.512695313,0.029873639
0.518798828,0.032209448
0.524902344,0.033801524
0.531005859,0.035546941
0.537109375,0.037159334
0.543212891,0.037191817
0.549316406,0.034349793
0.555419922,0.028737712
0.561523438,0.02228517
0.567626953,0.017839065
0.573730469,0.015972432
0.579833984,0.013932401
0.5859375,0.010091354
0.592041016,0.006482749
0.598144531,0.007154611
0.604248047,0.008682919
0.610351563,0.008214106
0.616455078,0.009604649
0.622558594,0.016279893
0.628662109,0.024249306
0.634765625,0.03004904
0.640869141,0.032149417
0.646972656,0.030923263
0.653076172,0.028506664
0.659179688,0.027689656
0.665283203,0.029313009
0.671386719,0.031406694
0.677490234,0.031624373
0.68359375,0.028865295
0.689697266,0.023382039
0.695800781,0.016413748
0.701904297,0.009639
0.708007813,0.004544845
0.714111328,0.001890288
0.720214844,0.001458119
0.726318359,0.002222487
0.732421875,0.002892361
0.738525391,0.002598882
0.744628906,0.00202244
0.750732422,0.00355794
0.756835938,0.005533672
0.762939453,0.006096713
0.769042969,0.004733659
0.775146484,0.002820454
0.78125,0.004346327
0.787353516,0.006567947
0.793457031,0.006611071
0.799560547,0.003902953
0.805664063,0.001919606
0.811767578,0.007214022
0.817871094,0.011844278
0.823974609,0.014208913
0.830078125,0.014026147
0.836181641,0.012102345
0.842285156,0.00977293
0.848388672,0.007792324
0.854492188,0.00579616
0.860595703,0.003604233
0.866699219,0.003181682
0.872802734,0.005072204
0.87890625,0.00681423
0.885009766,0.008229525
0.891113281,0.009929955
0.897216797,0.011539486
0.903320313,0.011767628
0.909423828,0.009636662
0.915527344,0.005170432
0.921630859,0.000634115
0.927734375,0.006159882
0.933837891,0.010100951
0.939941406,0.011947648
0.946044922,0.01254282
0.952148438,0.013779249
0.958251953,0.01672256
0.964355469,0.020471207
0.970458984,0.02358258
0.9765625,0.025074264
0.982666016,0.024592342
0.988769531,0.022507213
0.994873047,0.019964486
1.000976563,0.018437125
1.007080078,0.018473552
1.013183594,0.01924346
1.019287109,0.019886582
1.025390625,0.020284696
1.031494141,0.020497364
1.037597656,0.020121868
1.043701172,0.018507773
1.049804688,0.01543054
1.055908203,0.011509102
1.062011719,0.008288417
1.068115234,0.007391569
1.07421875,0.007763281
1.080322266,0.007072895
1.086425781,0.004587797
1.092529297,0.004109503
1.098632813,0.009991497
1.104736328,0.01713822
1.110839844,0.023350315
1.116943359,0.027459409
1.123046875,0.029386291
1.129150391,0.030558293
1.135253906,0.033416062
1.141357422,0.039232708
1.147460938,0.046771941
1.153564453,0.053748388
1.159667969,0.058420472
1.165771484,0.060175676
1.171875,0.059568255
1.177978516,0.057958501
1.184082031,0.05679191
1.190185547,0.05690694
1.196289063,0.058420919
1.202392578,0.061016301
1.208496094,0.063972903
1.214599609,0.06608052
1.220703125,0.066012771
1.226806641,0.063061518
1.232910156,0.057632223
1.239013672,0.051149949
1.245117188,0.045517874
1.251220703,0.042502638
1.257324219,0.043027131
1.263427734,0.046305049
1.26953125,0.049984049
1.275634766,0.051646666
1.281738281,0.050339943
1.287841797,0.047232802
1.293945313,0.044711257
1.300048828,0.043808911
1.306152344,0.043041674
1.312255859,0.041017448
1.318359375,0.039128808
1.324462891,0.040437029
1.330566406,0.044923638
1.336669922,0.048883918
1.342773438,0.049179105
1.348876953,0.04528151
1.354980469,0.038813515
1.361083984,0.031999516
1.3671875,0.026087314
1.373291016,0.021502821
1.379394531,0.020030862
1.385498047,0.024012333
1.391601563,0.031721774
1.397705078,0.039721881
1.403808594,0.045667625
1.409912109,0.048305854
1.416015625,0.047491647
1.422119141,0.044613027
1.428222656,0.042603352
1.434326172,0.043891567
1.440429688,0.047543362
1.446533203,0.050633676
1.452636719,0.051572526
1.458740234,0.050952724
1.46484375,0.050222328
1.470947266,0.050026157
1.477050781,0.050332649
1.483154297,0.051820404
1.489257813,0.055590488
1.495361328,0.061189999
1.501464844,0.06653539
1.507568359,0.069999559
1.513671875,0.071586608
1.519775391,0.072084756
1.525878906,0.071509631
1.531982422,0.069023643
1.538085938,0.064557744
1.544189453,0.059929721
1.550292969,0.057467229
1.556396484,0.057110565
1.5625,0.056565115
1.568603516,0.054642672
1.574707031,0.052749416
1.580810547,0.052650419
1.586914063,0.05337193
1.593017578,0.052097343
1.599121094,0.047514745
1.605224609,0.041423973
1.611328125,0.037752864
1.617431641,0.038632104
1.623535156,0.041846501
1.629638672,0.044295261
1.635742188,0.044422773
1.641845703,0.041645185
1.647949219,0.035800638
1.654052734,0.027602702
1.66015625,0.019808975
1.666259766,0.017827817
1.672363281,0.022390291
1.678466797,0.028085696
1.684570313,0.032727657
1.690673828,0.036717696
1.696777344,0.040515735
1.702880859,0.043544518
1.708984375,0.04480014
1.715087891,0.043980086
1.721191406,0.042024256
1.727294922,0.040697111
1.733398438,0.041147961
1.739501953,0.042745162
1.745605469,0.044006227
1.751708984,0.044454193
1.7578125,0.04523188
1.763916016,0.04771276
1.770019531,0.051429672
1.776123047,0.054383876
1.782226563,0.055344836
1.788330078,0.05527228
1.794433594,0.056463658
1.800537109,0.059750734
1.806640625,0.063194856
1.812744141,0.06424439
1.818847656,0.062113925
1.824951172,0.058260791
1.831054688,0.05509018
1.837158203,0.053754971
