Frequency (Hz),Fourier Amplitude (g-sec)
0.006103516,8.12006E-05
0.012207031,0.000206474
0.018310547,0.000500919
0.024414063,0.000713012
0.030517578,0.000701475
0.036621094,0.000661917
0.042724609,0.001029478
0.048828125,0.001413817
0.054931641,0.001389359
0.061035156,0.001147387
0.067138672,0.001534588
0.073242188,0.002110397
0.079345703,0.002029659
0.085449219,0.001450446
0.091552734,0.001926046
0.09765625,0.00274269
0.103759766,0.002438873
0.109863281,0.002660336
0.115966797,0.006077924
0.122070313,0.009786473
0.128173828,0.011634437
0.134277344,0.011492358
0.140380859,0.013112339
0.146484375,0.019333889
0.152587891,0.026203328
0.158691406,0.029321446
0.164794922,0.027015459
0.170898438,0.022127799
0.177001953,0.02266268
0.183105469,0.029773744
0.189208984,0.035513916
0.1953125,0.035847665
0.201416016,0.03225044
0.207519531,0.030003552
0.213623047,0.031969432
0.219726563,0.034487309
0.225830078,0.034449319
0.231933594,0.03352251
0.238037109,0.035649027
0.244140625,0.041261156
0.250244141,0.047237935
0.256347656,0.050979143
0.262451172,0.050935263
0.268554688,0.045830625
0.274658203,0.03531216
0.280761719,0.022338758
0.286865234,0.01811089
0.29296875,0.026401485
0.299072266,0.032895159
0.305175781,0.03392122
0.311279297,0.035053827
0.317382813,0.043179939
0.323486328,0.055308493
0.329589844,0.065125111
0.335693359,0.070592658
0.341796875,0.073372216
0.347900391,0.074934741
0.354003906,0.073904109
0.360107422,0.068212907
0.366210938,0.058997167
0.372314453,0.051233154
0.378417969,0.048030461
0.384521484,0.044841038
0.390625,0.035573662
0.396728516,0.019973455
0.402832031,0.011594938
0.408935547,0.023712759
0.415039063,0.030940834
0.421142578,0.027206467
0.427246094,0.016149447
0.433349609,0.018122376
0.439453125,0.033781291
0.445556641,0.04514169
0.451660156,0.048141278
0.457763672,0.044604126
0.463867188,0.039543976
0.469970703,0.03662521
0.476074219,0.034385003
0.482177734,0.030226781
0.48828125,0.026487351
0.494384766,0.030070126
0.500488281,0.040767024
0.506591797,0.052282334
0.512695313,0.060990061
0.518798828,0.066479935
0.524902344,0.070494684
0.531005859,0.074867365
0.537109375,0.07898912
0.543212891,0.079740046
0.549316406,0.074231174
0.555419922,0.06255105
0.561523438,0.048819203
0.567626953,0.039300466
0.573730469,0.035358542
0.579833984,0.030965917
0.5859375,0.022499426
0.592041016,0.014486685
0.598144531,0.016010484
0.604248047,0.019440745
0.610351563,0.018384768
0.616455078,0.021471195
0.622558594,0.036319155
0.628662109,0.053942909
0.634765625,0.066599151
0.640869141,0.070938013
0.646972656,0.06787942
0.653076172,0.062207221
0.659179688,0.060029555
0.665283203,0.063094345
0.671386719,0.067078361
0.677490234,0.066985204
0.68359375,0.060605968
0.689697266,0.048641725
0.695800781,0.033817793
0.701904297,0.019661776
0.708007813,0.009175371
0.714111328,0.003775935
0.720214844,0.002881221
0.726318359,0.004343314
0.732421875,0.005589331
0.738525391,0.004965473
0.744628906,0.003820073
0.750732422,0.006643315
0.756835938,0.0102134
0.762939453,0.01112282
0.769042969,0.008536514
0.775146484,0.00502781
0.78125,0.007659132
0.787353516,0.011442294
0.793457031,0.011387234
0.799560547,0.006647318
0.805664063,0.003233121
0.811767578,0.012017096
0.817871094,0.019516593
0.823974609,0.023163028
0.830078125,0.022624652
0.836181641,0.019319506
0.842285156,0.015442285
0.848388672,0.012189744
0.854492188,0.008978256
0.860595703,0.005529352
0.866699219,0.004835216
0.872802734,0.007637363
0.87890625,0.010168169
0.885009766,0.012172312
0.891113281,0.01456171
0.897216797,0.016780848
0.903320313,0.016973652
0.909423828,0.01379016
0.915527344,0.007342161
0.921630859,0.000893754
0.927734375,0.008619357
0.933837891,0.014035134
0.939941406,0.016488776
0.946044922,0.017197012
0.952148438,0.018773076
0.958251953,0.022644625
0.964355469,0.027558698
0.970458984,0.031568932
0.9765625,0.033384929
0.982666016,0.032574379
0.988769531,0.029665536
0.994873047,0.026190446
1.000976563,0.024078652
1.007080078,0.02402389
1.013183594,0.02492468
1.019287109,0.025660164
1.025390625,0.026080731
1.031494141,0.026266375
1.037597656,0.02570514
1.043701172,0.023575115
1.049804688,0.019603199
1.055908203,0.014585837
1.062011719,0.010481015
1.068115234,0.009328411
1.07421875,0.009780316
1.080322266,0.008896892
1.086425781,0.005763358
1.092529297,0.005156885
1.098632813,0.012527135
1.104736328,0.02147366
1.110839844,0.029244765
1.116943359,0.034384068
1.123046875,0.036797387
1.129150391,0.038273898
1.135253906,0.041872156
1.141357422,0.049193721
1.147460938,0.058699283
1.153564453,0.067529476
1.159667969,0.073496707
1.165771484,0.075821583
1.171875,0.075188221
1.177978516,0.073300844
1.184082031,0.071982827
1.190185547,0.072302243
1.196289063,0.074420467
1.202392578,0.077947209
1.208496094,0.081973687
1.214599609,0.084950991
1.220703125,0.085159334
1.226806641,0.081652695
1.232910156,0.074914455
1.239013672,0.066762371
1.245117188,0.059668722
1.251220703,0.055969391
1.257324219,0.056929644
1.263427734,0.061571119
1.26953125,0.066807262
1.275634766,0.069401475
1.281738281,0.068024224
1.287841797,0.064196151
1.293945313,0.061134462
1.300048828,0.060273265
1.306152344,0.059598189
1.312255859,0.057171857
1.318359375,0.054912037
1.324462891,0.057147116
1.330566406,0.063947023
1.336669922,0.070101475
1.342773438,0.07106276
1.348876953,0.065942634
1.354980469,0.056976389
1.361083984,0.0473591
1.3671875,0.038932989
1.373291016,0.032366156
1.379394531,0.030414461
1.385498047,0.036785404
1.391601563,0.049038084
1.397705078,0.061974487
1.403808594,0.071923179
1.409912109,0.076807827
1.416015625,0.076248927
1.422119141,0.07233556
1.428222656,0.069769818
1.434326172,0.072609841
1.440429688,0.079459978
1.446533203,0.085505115
1.452636719,0.088005779
1.458740234,0.087870317
1.46484375,0.087536865
1.470947266,0.088133938
1.477050781,0.089634472
1.483154297,0.093288291
1.489257813,0.101168151
1.495361328,0.11257719
1.501464844,0.123752009
1.507568359,0.131619534
1.513671875,0.136072613
1.519775391,0.138508618
1.525878906,0.13888794
1.531982422,0.135496484
1.538085938,0.128074615
1.544189453,0.120139677
1.550292969,0.116393583
1.556396484,0.116846235
1.5625,0.116882866
1.568603516,0.114009674
1.574707031,0.111103504
1.580810547,0.111916438
1.586914063,0.11446094
1.593017578,0.112686401
1.599121094,0.103620068
1.605224609,0.091046596
1.611328125,0.083595813
1.617431641,0.086143262
1.623535156,0.093923882
1.629638672,0.100026291
1.635742188,0.100876444
1.641845703,0.095050647
1.647949219,0.082084063
1.654052734,0.063542257
1.66015625,0.045758911
1.666259766,0.041301874
1.672363281,0.051992556
1.678466797,0.065332046
1.684570313,0.076219209
1.690673828,0.085562299
1.696777344,0.094414503
1.702880859,0.1014167
1.708984375,0.104225294
1.715087891,0.102147838
1.721191406,0.097391239
1.727294922,0.094059875
1.733398438,0.094796419
1.739501953,0.098112351
1.745605469,0.100587342
1.751708984,0.101144786
1.7578125,0.102399125
1.763916016,0.107432772
1.770019531,0.115134975
1.776123047,0.121005917
1.782226563,0.122354307
1.788330078,0.121374974
1.794433594,0.12312759
1.800537109,0.129357063
1.806640625,0.135798781
1.812744141,0.13700418
1.818847656,0.131431517
1.824951172,0.122302758
1.831054688,0.114717681
1.837158203,0.111026651
