Frequency (Hz),Fourier Amplitude (g-sec)
0.006103516,0.001652616
0.012207031,0.001808098
0.018310547,0.001628985
0.024414063,0.001800614
0.030517578,0.002297519
0.036621094,0.002364587
0.042724609,0.002156033
0.048828125,0.002543175
0.054931641,0.003110721
0.061035156,0.003024599
0.067138672,0.00268237
0.073242188,0.00317383
0.079345703,0.003743857
0.085449219,0.003339208
0.091552734,0.002598349
0.09765625,0.00308381
0.103759766,0.003283631
0.109863281,0.002072037
0.115966797,0.004132167
0.122070313,0.008491395
0.128173828,0.011295557
0.134277344,0.011504447
0.140380859,0.012461371
0.146484375,0.018555819
0.152587891,0.026102316
0.158691406,0.029933857
0.164794922,0.02792731
0.170898438,0.022888644
0.177001953,0.023206348
0.183105469,0.030282114
0.189208984,0.035841475
0.1953125,0.035841902
0.201416016,0.032111816
0.207519531,0.030059814
0.213623047,0.031914033
0.219726563,0.033799897
0.225830078,0.033173583
0.231933594,0.032091979
0.238037109,0.034000614
0.244140625,0.038685156
0.250244141,0.043448009
0.256347656,0.046456168
0.262451172,0.046450574
0.268554688,0.041973073
0.274658203,0.032357494
0.280761719,0.019905944
0.286865234,0.014273016
0.29296875,0.020997417
0.299072266,0.026389606
0.305175781,0.026809016
0.311279297,0.027335401
0.317382813,0.034195277
0.323486328,0.044547179
0.329589844,0.053063129
0.335693359,0.058316392
0.341796875,0.061807246
0.347900391,0.064555452
0.354003906,0.065123031
0.360107422,0.061635879
0.366210938,0.054955907
0.372314453,0.049177837
0.378417969,0.047150609
0.384521484,0.04557405
0.390625,0.039198872
0.396728516,0.02703748
0.402832031,0.015952446
0.408935547,0.019979914
0.415039063,0.027608718
0.421142578,0.027680087
0.427246094,0.019967475
0.433349609,0.014158056
0.439453125,0.02357165
0.445556641,0.03500784
0.451660156,0.040824108
0.457763672,0.040542467
0.463867188,0.037116434
0.469970703,0.034116718
0.476074219,0.032153506
0.482177734,0.029087506
0.48828125,0.024422466
0.494384766,0.022529693
0.500488281,0.028150685
0.506591797,0.037323874
0.512695313,0.044920429
0.518798828,0.049475722
0.524902344,0.052483416
0.531005859,0.056156747
0.537109375,0.060447167
0.543212891,0.062774872
0.549316406,0.060649323
0.555419922,0.05382246
0.561523438,0.044734583
0.567626953,0.037238519
0.573730469,0.033238757
0.579833984,0.030456629
0.5859375,0.025893459
0.592041016,0.019298955
0.598144531,0.013198697
0.604248047,0.010460586
0.610351563,0.009088078
0.616455078,0.006125059
0.622558594,0.009148639
0.628662109,0.020077791
0.634765625,0.031935937
0.640869141,0.04112206
0.646972656,0.045629986
0.653076172,0.045910703
0.659179688,0.045875946
0.665283203,0.05091272
0.671386719,0.06125904
0.677490234,0.071461604
0.68359375,0.076055222
0.689697266,0.07238366
0.695800781,0.061139142
0.701904297,0.04595296
0.708007813,0.032081588
0.714111328,0.023497493
0.720214844,0.018823051
0.726318359,0.014151622
0.732421875,0.009651461
0.738525391,0.008445842
0.744628906,0.008582434
0.750732422,0.006491245
0.756835938,0.003323941
0.762939453,0.004336237
0.769042969,0.005320189
0.775146484,0.002881875
0.78125,0.002593922
0.787353516,0.007429104
0.793457031,0.008969932
0.799560547,0.005278007
0.805664063,0.003968394
0.811767578,0.014714078
0.817871094,0.024162446
0.823974609,0.029030091
0.830078125,0.028229014
0.836181641,0.023097618
0.842285156,0.016463725
0.848388672,0.010789786
0.854492188,0.007560523
0.860595703,0.009508911
0.866699219,0.014979726
0.872802734,0.019809347
0.87890625,0.022215183
0.885009766,0.022734279
0.891113281,0.022851625
0.897216797,0.022331687
0.903320313,0.019104741
0.909423828,0.012114879
0.915527344,0.005853836
0.921630859,0.013002966
0.927734375,0.020968275
0.933837891,0.024337915
0.939941406,0.022964224
0.946044922,0.019973155
0.952148438,0.020403381
0.958251953,0.024870259
0.964355469,0.029486777
0.970458984,0.031869126
0.9765625,0.031667537
0.982666016,0.029466258
0.988769531,0.026031007
0.994873047,0.022108047
1.000976563,0.018740927
1.007080078,0.017476973
1.013183594,0.019079902
1.019287109,0.022371533
1.025390625,0.025989891
1.031494141,0.029587169
1.037597656,0.03317507
1.043701172,0.03612553
1.049804688,0.037150036
1.055908203,0.035177335
1.062011719,0.030112857
1.068115234,0.02290698
1.07421875,0.014990895
1.080322266,0.007613073
1.086425781,0.004088682
1.092529297,0.009996114
1.098632813,0.018244864
1.104736328,0.026901426
1.110839844,0.034630066
1.116943359,0.03992241
1.123046875,0.041976399
1.129150391,0.042174911
1.135253906,0.044827043
1.141357422,0.053464923
1.147460938,0.065942994
1.153564453,0.077331871
1.159667969,0.084218827
1.165771484,0.085904127
1.171875,0.083854802
1.177978516,0.080271884
1.184082031,0.076836803
1.190185547,0.074701684
1.196289063,0.0749989
1.202392578,0.078101868
1.208496094,0.082434932
1.214599609,0.085198293
1.220703125,0.084278611
1.226806641,0.079253746
1.232910156,0.071087114
1.239013672,0.061284117
1.245117188,0.051580221
1.251220703,0.044586463
1.257324219,0.043459577
1.263427734,0.04805332
1.26953125,0.053995871
1.275634766,0.057223107
1.281738281,0.05644438
1.287841797,0.053219763
1.293945313,0.050578569
1.300048828,0.050021211
1.306152344,0.04986798
1.312255859,0.047919735
1.318359375,0.04492708
1.324462891,0.045049147
1.330566406,0.050933855
1.336669922,0.059284753
1.342773438,0.065056285
1.348876953,0.065554946
1.354980469,0.060955373
1.361083984,0.053320026
1.3671875,0.044856859
1.373291016,0.036322638
1.379394531,0.027391887
1.385498047,0.02004601
1.391601563,0.021983498
1.397705078,0.032881798
1.403808594,0.044319952
1.409912109,0.051714718
1.416015625,0.053474176
1.422119141,0.050529427
1.428222656,0.046256586
1.434326172,0.044960781
1.440429688,0.047873812
1.446533203,0.052044251
1.452636719,0.054425466
1.458740234,0.054227947
1.46484375,0.052368306
1.470947266,0.050089306
1.477050781,0.048315162
1.483154297,0.048270101
1.489257813,0.051604887
1.495361328,0.058573374
1.501464844,0.067173112
1.507568359,0.075012404
1.513671875,0.081015619
1.519775391,0.085363212
1.525878906,0.088257973
1.531982422,0.089094407
1.538085938,0.087206351
1.544189453,0.083417026
1.550292969,0.080348211
1.556396484,0.080128365
1.5625,0.081747343
1.568603516,0.082483295
1.574707031,0.081656018
1.580810547,0.081598787
1.586914063,0.084276222
1.593017578,0.087596181
1.599121094,0.087198444
1.605224609,0.080992857
1.611328125,0.071549203
1.617431641,0.065209206
1.623535156,0.066505418
1.629638672,0.072854731
1.635742188,0.079089477
1.641845703,0.08230495
1.647949219,0.081240626
1.654052734,0.075018179
1.66015625,0.063583462
1.666259766,0.049035409
1.672363281,0.03632454
1.678466797,0.031030283
1.684570313,0.032297545
1.690673828,0.035498932
1.696777344,0.040386879
1.702880859,0.04764727
1.708984375,0.054799382
1.715087891,0.058424532
1.721191406,0.057352848
1.727294922,0.053546954
1.733398438,0.050604208
1.739501953,0.050250744
1.745605469,0.050714793
1.751708984,0.049758831
1.7578125,0.04771913
1.763916016,0.047502836
1.770019531,0.051388118
1.776123047,0.057824105
1.782226563,0.063323347
1.788330078,0.066112272
1.794433594,0.067903397
1.800537109,0.072923343
1.806640625,0.083138793
1.812744141,0.095156481
1.818847656,0.103702557
1.824951172,0.106038202
1.831054688,0.103739841
1.837158203,0.101512242
1.843261719,0.102795232
1.849365234,0.106271844
1.85546875,0.108722708
1.861572266,0.10984232
1.867675781,0.112397976
1.873779297,0.117753188
1.879882813,0.122907084
1.885986328,0.123386797
1.892089844,0.117521769
1.898193359,0.107767087
1.904296875,0.098954669
1.910400391,0.094854917
1.916503906,0.09599931
1.922607422,0.100749402
1.928710938,0.106701766
1.934814453,0.11074528
1.940917969,0.109791303
1.947021484,0.102510754
1.953125,0.090524208
1.959228516,0.077934247
1.965332031,0.068794025
1.971435547,0.063712601
1.977539063,0.059839874
1.983642578,0.054490976
1.989746094,0.047066537
1.995849609,0.038331963
2.001953125,0.029212386
2.008056641,0.020372317
2.014160156,0.012809962
2.020263672,0.008801875
2.026367188,0.008451401
2.032470703,0.00626796
2.038574219,0.0014664
2.044677734,0.015247479
2.05078125,0.033604241
2.056884766,0.053603119
2.062988281,0.072418289
2.069091797,0.088775954
2.075195313,0.103298518
2.081298828,0.116880076
2.087402344,0.12844464
2.093505859,0.134896045
2.099609375,0.133521277
2.105712891,0.124436677
2.111816406,0.111092284
2.117919922,0.098318239
2.124023438,0.08947432
2.130126953,0.086395568
2.136230469,0.091326744
2.142333984,0.103902732
2.1484375,0.117606581
2.154541016,0.12412645
2.160644531,0.120048103
2.166748047,0.111383756
2.172851563,0.112022413
2.178955078,0.127434201
2.185058594,0.145693296
2.191162109,0.153859319
2.197265625,0.148474794
2.203369141,0.135601965
2.209472656,0.125160083
2.215576172,0.120680915
2.221679688,0.116289648
2.227783203,0.106970941
2.233886719,0.096457784
2.239990234,0.093646986
2.24609375,0.09957982
2.252197266,0.105479959
2.258300781,0.105153494
2.264404297,0.100049886
2.270507813,0.095823371
2.276611328,0.095641682
2.282714844,0.097472897
2.288818359,0.098435312
2.294921875,0.098056154
2.301025391,0.096908981
2.307128906,0.094761039
2.313232422,0.091287746
2.319335938,0.087532837
2.325439453,0.08511187
2.331542969,0.083943269
2.337646484,0.082343677
2.34375,0.07977063
2.349853516,0.078300462
2.355957031,0.080618901
2.362060547,0.086653736
2.368164063,0.093501431
2.374267578,0.097867684
2.380371094,0.097294371
2.386474609,0.090279492
2.392578125,0.076568561
2.398681641,0.057642221
2.404785156,0.036742825
2.410888672,0.018357582
2.416992188,0.01045742
2.423095703,0.017818122
2.429199219,0.029479538
2.435302734,0.043689039
2.44140625,0.058792321
2.447509766,0.072144604
2.453613281,0.081866239
2.459716797,0.087686727
2.465820313,0.09092565
2.471923828,0.09375033
2.478027344,0.097558198
2.484130859,0.101324972
2.490234375,0.101942606
2.496337891,0.096810364
2.502441406,0.086875277
2.508544922,0.078211429
2.514648438,0.078136748
2.520751953,0.085339704
2.526855469,0.091220431
2.532958984,0.090082907
2.5390625,0.082460096
2.545166016,0.07332148
2.551269531,0.067593774
2.557373047,0.065927173
2.563476563,0.066673821
2.569580078,0.070121912
2.575683594,0.076966724
2.581787109,0.085197742
2.587890625,0.091759519
2.593994141,0.095707335
2.600097656,0.098678295
2.606201172,0.103089503
2.612304688,0.110597974
2.618408203,0.122203912
2.624511719,0.13819475
2.630615234,0.156959488
2.63671875,0.17481871
2.642822266,0.187723029
2.648925781,0.193143475
2.655029297,0.19084234
2.661132813,0.182596828
2.667236328,0.171574945
2.673339844,0.16162266
2.679443359,0.155849189
2.685546875,0.154634564
2.691650391,0.1555055
2.697753906,0.155928019
2.703857422,0.155844879
2.709960938,0.156977067
2.716064453,0.159683129
2.722167969,0.161501501
2.728271484,0.159518505
2.734375,0.153450485
2.740478516,0.145937473
2.746582031,0.139643482
2.752685547,0.134149563
2.758789063,0.12659789
2.764892578,0.115134563
2.770996094,0.100947334
2.777099609,0.087519493
2.783203125,0.078373175
2.789306641,0.075376182
2.795410156,0.078817504
2.801513672,0.087654374
2.807617188,0.09911923
2.813720703,0.109441601
2.819824219,0.115560045
2.825927734,0.116552896
2.83203125,0.114252368
2.838134766,0.11242439
2.844238281,0.113816347
2.850341797,0.11717657
2.856445313,0.118493066
2.862548828,0.115366451
2.868652344,0.110035534
2.874755859,0.10830538
2.880859375,0.113259599
2.886962891,0.120755296
2.893066406,0.124285439
2.899169922,0.121383229
2.905273438,0.115288604
2.911376953,0.112049708
2.917480469,0.114255628
2.923583984,0.118103011
2.9296875,0.117941778
2.935791016,0.11097964
2.941894531,0.098255664
2.947998047,0.083733243
2.954101563,0.072425066
2.960205078,0.066753793
2.966308594,0.063698165
2.972412109,0.058089937
2.978515625,0.047921562
2.984619141,0.037204139
2.990722656,0.03585903
2.996826172,0.045504145
3.002929688,0.056671674
3.009033203,0.064704155
3.015136719,0.0701627
3.021240234,0.074734625
3.02734375,0.078155275
3.033447266,0.078552439
3.039550781,0.075063687
3.045654297,0.069306337
3.051757813,0.064150849
3.057861328,0.060645574
3.063964844,0.056860821
3.070068359,0.050545234
3.076171875,0.041994396
3.082275391,0.035447523
3.088378906,0.038155023
3.094482422,0.051582532
3.100585938,0.070558428
3.106689453,0.090561455
3.112792969,0.108461547
3.118896484,0.122527999
3.125,0.132838657
3.131103516,0.14072298
3.137207031,0.146986021
3.143310547,0.150547366
3.149414063,0.149307835
3.155517578,0.142694439
3.161621094,0.133728642
3.167724609,0.128455909
3.173828125,0.131278846
3.179931641,0.140348264
3.186035156,0.150171654
3.192138672,0.156988624
3.198242188,0.160191441
3.204345703,0.160483506
3.210449219,0.157678303
3.216552734,0.150362442
3.22265625,0.137498402
3.228759766,0.120179381
3.234863281,0.102005018
3.240966797,0.087464288
3.247070313,0.078609427
3.253173828,0.073232847
3.259277344,0.067708457
3.265380859,0.060386902
3.271484375,0.051761594
3.277587891,0.042881292
3.283691406,0.034261032
3.289794922,0.026380804
3.295898438,0.021050131
3.302001953,0.02056961
3.308105469,0.02339233
3.314208984,0.026031466
3.3203125,0.027197057
3.326416016,0.027626035
3.332519531,0.02881142
3.338623047,0.03191937
3.344726563,0.037202182
3.350830078,0.043654093
3.356933594,0.049018091
3.363037109,0.050583546
3.369140625,0.046550182
3.375244141,0.037565992
3.381347656,0.028742933
3.387451172,0.029499552
3.393554688,0.039070205
3.399658203,0.048934008
3.405761719,0.056421397
3.411865234,0.063273356
3.41796875,0.071292622
3.424072266,0.079220437
3.430175781,0.084009653
3.436279297,0.084235698
3.442382813,0.082011456
3.448486328,0.08180647
3.454589844,0.08595098
3.460693359,0.091892082
3.466796875,0.095465785
3.472900391,0.09469098
3.479003906,0.0903258
3.485107422,0.084366585
3.491210938,0.078277619
3.497314453,0.07242368
3.503417969,0.066872006
3.509521484,0.062295467
3.515625,0.060139674
3.521728516,0.061973109
3.527832031,0.067845611
3.533935547,0.075005051
3.540039063,0.07888871
3.546142578,0.075444674
3.552246094,0.063420201
3.558349609,0.047013843
3.564453125,0.040119994
3.570556641,0.052514987
3.576660156,0.069502948
3.582763672,0.079692804
3.588867188,0.080545167
3.594970703,0.075216568
3.601074219,0.070170179
3.607177734,0.070431356
3.61328125,0.075384878
3.619384766,0.081938947
3.625488281,0.088765796
3.631591797,0.095221057
3.637695313,0.098991901
3.643798828,0.096702629
3.649902344,0.086738379
