Max. Strain,,Max. Stress Ratio,,PGA (g),
Depth (ft),Strain (%),Depth (ft),Shear Stress Ratio (Shear/Eff. Vert.),Depth (ft),PGA (g)
2.5,0.009752307,2.5,0.482460581,0,0.487330978
7.5,0.034957244,7.5,0.473933893,5,0.483182488
12.5,0.067765883,12.5,0.461176659,10,0.468151005
17.5,0.108656908,17.5,0.444660267,15,0.438016906
22.5,0.154394794,22.5,0.422795913,20,0.386968074
27.5,0.196949762,27.5,0.39553679,25,0.320980115
32.5,0.231272817,32.5,0.363024684,30,0.243029536
37.5,0.24835774,37.5,0.325481946,35,0.190049023
44,0.030396781,44,0.291719205,40,0.185059282
52,0.030717127,52,0.248974852,48,0.183505529
60,0.030528676,60,0.214689939,56,0.182657581
68,0.031573977,68,0.194742499,64,0.179120344
76,0.032655651,76,0.179123801,72,0.172826245
82.5,0.050475963,82.5,0.172438257,80,0.167673435
87.5,0.052222021,87.5,0.166704395,85,0.1635588
92.5,0.053952008,92.5,0.161508406,90,0.16526814
97.5,0.056110258,97.5,0.157682342,95,0.165071876
102.5,0.057881155,102.5,0.153423801,100,0.162855323
107.5,0.059198564,107.5,0.148698807,105,0.165565973
112.5,0.060001772,112.5,0.143485089,110,0.167019292
117.5,0.060813741,117.5,0.138722779,115,0.16599595
122.5,0.062255059,122.5,0.135331894,120,0.168499788
127.5,0.063229156,127.5,0.131488558,125,0.176401312
137.5,0.019190302,137.5,0.122916357,130,0.182497299
152.5,0.020950196,152.5,0.116919974,145,0.186803926
167.5,0.02317109,167.5,0.113491479,160,0.186232602
182.5,0.025577952,182.5,0.110963278,175,0.182660925
197.5,0.02823667,197.5,0.109255974,190,0.173977935
212.5,0.030991214,212.5,0.107759811,205,0.161208467
227.5,0.033429721,227.5,0.105548332,220,0.15182216
242.5,0.036340439,242.5,0.104367023,235,0.147206968
257.5,0.038287776,257.5,0.101439701,250,0.147660566
272.5,0.041027496,272.5,0.10004005,265,0.149503761
287.5,0.042845403,287.5,0.097294498,280,0.156935387
302.5,0.044996837,302.5,0.095230665,295,0.162875983
317.5,0.046645063,317.5,0.092658959,310,0.171577878
332.5,0.0481881,332.5,0.090163803,325,0.195612905
347.5,0.049560733,347.5,0.087644748,340,0.222695043
362.5,0.050660256,362.5,0.085025731,355,0.244890523
377.5,0.051933008,377.5,0.082775715,370,0.251747333
392.5,0.053570675,392.5,0.081019214,385,0.244149584
407.5,0.05486953,407.5,0.079074611,400,0.235312243
422.5,0.057323704,422.5,0.078197636,415,0.227407007
437.5,0.058634574,437.5,0.076452765,430,0.231132904
452.5,0.061958631,452.5,0.076267525,445,0.236104385
467.5,0.063057433,467.5,0.074506539,460,0.238633819
482.5,0.0663749,482.5,0.074277356,475,0.244284608
497.5,0.067550222,497.5,0.072698306,490,0.247515888
512.5,0.070480228,512.5,0.072215497,505,0.274898014
527.5,0.072075879,527.5,0.070986803,520,0.274737938
542.5,0.074318131,542.5,0.070147007,535,0.309446554
