Max. Strain,,Max. Stress Ratio,,PGA (g),
Depth (ft),Strain (%),Depth (ft),Shear Stress Ratio (Shear/Eff. Vert.),Depth (ft),PGA (g)
2.5,0.005129571,2.5,0.516966171,0,0.277300975
7.5,0.017052551,7.5,0.505342527,5,0.268036185
12.5,0.030425997,12.5,0.485296809,10,0.243944971
17.5,0.044851217,17.5,0.456029906,15,0.255941519
22.5,0.064993351,22.5,0.465964881,20,0.278727699
27.5,0.091207629,27.5,0.468280132,25,0.273335754
32.5,0.117177306,32.5,0.462725915,30,0.228593795
37.5,0.140677376,37.5,0.443170345,35,0.181587848
44,0.018911047,44,0.377102605,40,0.171448496
52,0.021228805,52,0.351990746,48,0.159806699
60,0.022383438,60,0.318935517,56,0.137842118
68,0.022927149,68,0.286781228,64,0.13659502
76,0.025986034,76,0.284934137,72,0.135547911
82.5,0.042320342,82.5,0.283907744,80,0.153353531
87.5,0.045120186,87.5,0.281373708,85,0.156312373
92.5,0.047852391,92.5,0.277525999,90,0.146736422
97.5,0.050503429,97.5,0.275508784,95,0.168130908
102.5,0.053466672,102.5,0.273654575,100,0.183044944
107.5,0.056009246,107.5,0.270192584,105,0.181504581
112.5,0.057979296,112.5,0.264920905,110,0.173381326
117.5,0.058948104,117.5,0.256782843,115,0.227451665
122.5,0.05903234,122.5,0.244087138,120,0.22796398
127.5,0.059997211,127.5,0.239747032,125,0.194238123
137.5,0.019079581,137.5,0.226922906,130,0.231754031
152.5,0.02036047,152.5,0.210325314,145,0.220682515
167.5,0.022322703,167.5,0.201416945,160,0.167036464
182.5,0.022771043,182.5,0.184976873,175,0.178781317
197.5,0.024713004,197.5,0.17916599,190,0.156005812
212.5,0.025544574,212.5,0.168518793,205,0.187840331
227.5,0.027566345,227.5,0.164880851,220,0.165555303
242.5,0.029429438,242.5,0.159169338,235,0.192433145
257.5,0.031667004,257.5,0.157902239,250,0.162800184
272.5,0.033031974,272.5,0.151941689,265,0.228456322
287.5,0.036601274,287.5,0.153895515,280,0.186779601
302.5,0.039944485,302.5,0.153963205,295,0.253342058
317.5,0.045924798,317.5,0.159291987,310,0.194923958
332.5,0.04838674,332.5,0.15522827,325,0.279858801
347.5,0.055594787,347.5,0.161854974,340,0.203301165
362.5,0.057387979,362.5,0.156646883,355,0.311637505
377.5,0.059780941,377.5,0.154392237,370,0.263064115
392.5,0.063683496,392.5,0.151936582,385,0.317021112
407.5,0.066778088,407.5,0.151353746,400,0.322189007
422.5,0.069420998,422.5,0.14757989,415,0.312395367
437.5,0.075690036,437.5,0.150145136,430,0.343051212
452.5,0.076543759,452.5,0.145747617,445,0.305835593
467.5,0.082433431,467.5,0.146346873,460,0.339694629
482.5,0.08638549,482.5,0.144980617,475,0.277693238
497.5,0.090157935,497.5,0.142338856,490,0.365446559
512.5,0.096135969,512.5,0.143521037,505,0.289783654
527.5,0.098158016,527.5,0.140667851,520,0.328373121
542.5,0.097263483,542.5,0.135345211,535,0.290403147
